ch_Species Acp_g Bcp_g Ccp_g Dcp_g Ecp_g AcpH_g BcpH_g CcpH_g DcpH_g EcpH_g Tmin Tmed Tmax Amu_g Bmu_g Cmu_g Ak_g Bk_g Ck_g Ad Bd Cd
3-ethyl-2-methylpentane 0.03059 0.072152 -9.3105e-06 -3.0846e-08 1.4513e-11 15.1224 0.047151 -1.9019e-05 3.5403e-09 -2.4861e-13 100 1061.43 5000 0 0 0 0 0 0 0 0 0
3-ethylhexane 0.03059 0.072152 -9.3105e-06 -3.0846e-08 1.4513e-11 15.1224 0.047151 -1.9019e-05 3.5403e-09 -2.4861e-13 100 1061.43 5000 0 0 0 0 0 0 0 0 0
3-methyl-3-ethylpentane 0.19117 0.070135 -9.5971e-06 -2.7822e-08 1.3141e-11 13.4326 0.048457 -1.9087e-05 3.4935e-09 -2.4256e-13 100 1058.23 5000 0 0 0 0 0 0 0 0 0
2-methylheptane 0.19117 0.070135 -9.5971e-06 -2.7822e-08 1.3141e-11 13.4326 0.048457 -1.9087e-05 3.4935e-09 -2.4256e-13 100 1058.23 5000 0 0 0 0 0 0 0 0 0
4-methylheptane 0.10635 0.073442 -2.2094e-05 -1.282e-08 7.3939e-12 13.1589 0.049257 -1.9708e-05 3.5981e-09 -2.4773e-13 100 1120.69 5000 0 0 0 0 0 0 0 0 0
3-methylheptane 0.10635 0.073442 -2.2094e-05 -1.282e-08 7.3939e-12 13.1589 0.049257 -1.9708e-05 3.5981e-09 -2.4773e-13 100 1120.69 5000 0 0 0 0 0 0 0 0 0
2,2,3,3-tetramethylbutane 0.10635 0.073442 -2.2094e-05 -1.282e-08 7.3939e-12 13.1589 0.049257 -1.9708e-05 3.5981e-09 -2.4773e-13 100 1120.69 5000 0 0 0 0 0 0 0 0 0
2,2,3-trimethylpentane 0.097802 0.06902 2.7413e-06 -4.5517e-08 2.0229e-11 15.6962 0.045873 -1.8135e-05 3.3757e-09 -2.386e-13 100 1029.27 5000 0 0 0 0 0 0 0 0 0
2,3,3-trimethylpentane -0.5786 0.086323 -2.8111e-05 -1.4087e-08 8.7605e-12 15.3085 0.055287 -2.2005e-05 4.0168e-09 -2.7703e-13 100 1103.64 5000 0 0 0 0 0 0 0 0 0
2,3,4-trimethylpentane -0.73285 0.088268 -2.7578e-05 -1.7417e-08 1.0256e-11 16.9621 0.05404 -2.197e-05 4.0715e-09 -2.8372e-13 100 1100.04 5000 0 0 0 0 0 0 0 0 0
2,2,4-trimethylpentane -0.5786 0.086323 -2.8111e-05 -1.4087e-08 8.7605e-12 15.3085 0.055287 -2.2005e-05 4.0168e-09 -2.7703e-13 100 1103.64 5000 0 0 0 0 0 0 0 0 0
3,3-diethylpentane -0.73285 0.088268 -2.7578e-05 -1.7417e-08 1.0256e-11 16.9621 0.05404 -2.197e-05 4.0715e-09 -2.8372e-13 100 1100.04 5000 0 0 0 0 0 0 0 0 0
2,2-dimethyl-3-ethylpentane -0.5786 0.086323 -2.8111e-05 -1.4087e-08 8.7605e-12 15.3085 0.055287 -2.2005e-05 4.0168e-09 -2.7703e-13 100 1103.64 5000 0 0 0 0 0 0 0 0 0
2,4-dimethyl-3-ethylpentane -0.5786 0.086323 -2.8111e-05 -1.4087e-08 8.7605e-12 15.3085 0.055287 -2.2005e-05 4.0168e-09 -2.7703e-13 100 1103.64 5000 0 0 0 0 0 0 0 0 0
2,3-dimethyl-3-ethylpentane -0.5786 0.086323 -2.8111e-05 -1.4087e-08 8.7605e-12 15.3085 0.055287 -2.2005e-05 4.0168e-09 -2.7703e-13 100 1103.64 5000 0 0 0 0 0 0 0 0 0
2,5-dimethylheptane -0.6896 0.089871 -4.1136e-05 1.166e-09 3.0813e-12 15.6711 0.055097 -2.2092e-05 4.0013e-09 -2.7261e-13 100 1206.85 5000 0 0 0 0 0 0 0 0 0
2,6-dimethylheptane -0.73285 0.088268 -2.7578e-05 -1.7417e-08 1.0256e-11 16.9621 0.05404 -2.197e-05 4.0715e-09 -2.8372e-13 100 1100.04 5000 0 0 0 0 0 0 0 0 0
3,4-dimethylheptane -0.6896 0.089871 -4.1136e-05 1.166e-09 3.0813e-12 15.6711 0.055097 -2.2092e-05 4.0013e-09 -2.7261e-13 100 1206.85 5000 0 0 0 0 0 0 0 0 0
3,5-dimethylheptane -0.6896 0.089871 -4.1136e-05 1.166e-09 3.0813e-12 15.6711 0.055097 -2.2092e-05 4.0013e-09 -2.7261e-13 100 1206.85 5000 0 0 0 0 0 0 0 0 0
2,3-dimethylheptane -0.6896 0.089871 -4.1136e-05 1.166e-09 3.0813e-12 15.6711 0.055097 -2.2092e-05 4.0013e-09 -2.7261e-13 100 1206.85 5000 0 0 0 0 0 0 0 0 0
2,4-dimethylheptane -0.74993 0.083937 -3.0211e-06 -4.9818e-08 2.2992e-11 19.5984 0.050497 -2.031e-05 3.8292e-09 -2.7299e-13 100 1033.08 5000 0 0 0 0 0 0 0 0 0
4,4-dimethylheptane -0.65489 0.085032 -1.5285e-05 -3.2222e-08 1.5948e-11 17.3312 0.053088 -2.1266e-05 3.9478e-09 -2.7702e-13 100 1056.45 5000 0 0 0 0 0 0 0 0 0
2,2-dimethylheptane -0.65489 0.085032 -1.5285e-05 -3.2222e-08 1.5948e-11 17.3312 0.053088 -2.1266e-05 3.9478e-09 -2.7702e-13 100 1056.45 5000 0 0 0 0 0 0 0 0 0
3-ethyl-2-methylhexane -0.49345 0.083005 -1.5535e-05 -2.9246e-08 1.4597e-11 15.6389 0.054399 -2.1337e-05 3.9016e-09 -2.7102e-13 100 1052.95 5000 0 0 0 0 0 0 0 0 0
4-ethyl-2-methylhexane -0.65489 0.085032 -1.5285e-05 -3.2222e-08 1.5948e-11 17.3312 0.053088 -2.1266e-05 3.9478e-09 -2.7702e-13 100 1056.45 5000 0 0 0 0 0 0 0 0 0
3-ethyl-3-methylhexane -1.5133 0.10455 -4.6255e-05 -3.6937e-09 5.9725e-12 19.1311 0.060411 -2.464e-05 4.5388e-09 -3.1371e-13 100 1152.2 5000 0 0 0 0 0 0 0 0 0
3-ethyl-4-methylhexane -1.4187 0.10116 -3.3606e-05 -1.8693e-08 1.1635e-11 19.1407 0.060024 -2.4243e-05 4.4847e-09 -3.1259e-13 100 1089.79 5000 0 0 0 0 0 0 0 0 0
4-ethylheptane -1.2627 0.099192 -3.4075e-05 -1.5439e-08 1.0169e-11 17.4734 0.061293 -2.429e-05 4.4329e-09 -3.0613e-13 100 1091.21 5000 0 0 0 0 0 0 0 0 0
3-ethylheptane -1.4187 0.10116 -3.3606e-05 -1.8693e-08 1.1635e-11 19.1407 0.060024 -2.4243e-05 4.4847e-09 -3.1259e-13 100 1089.79 5000 0 0 0 0 0 0 0 0 0
2-methyloctane -1.3714 0.10274 -4.719e-05 6.7798e-11 4.3299e-12 17.6225 0.061429 -2.4549e-05 4.4557e-09 -3.0473e-13 100 1169.54 5000 0 0 0 0 0 0 0 0 0
3-methyloctane -1.3714 0.10274 -4.719e-05 6.7798e-11 4.3299e-12 17.6225 0.061429 -2.4549e-05 4.4557e-09 -3.0473e-13 100 1169.54 5000 0 0 0 0 0 0 0 0 0
4-methyloctane -1.3714 0.10274 -4.719e-05 6.7798e-11 4.3299e-12 17.6225 0.061429 -2.4549e-05 4.4557e-09 -3.0473e-13 100 1169.54 5000 0 0 0 0 0 0 0 0 0
2,2,3,3-tetramethylpentane -1.3714 0.10274 -4.719e-05 6.7798e-11 4.3299e-12 17.6225 0.061429 -2.4549e-05 4.4557e-09 -3.0473e-13 100 1169.54 5000 0 0 0 0 0 0 0 0 0
2,2,3,4-tetramethylpentane -1.3714 0.10274 -4.719e-05 6.7798e-11 4.3299e-12 17.6225 0.061429 -2.4549e-05 4.4557e-09 -3.0473e-13 100 1169.54 5000 0 0 0 0 0 0 0 0 0
