ch_Species Arho Brho n Acp Bcp Ccp Dcp
3-ethyl-3-methylheptane 0.2269 0.238 0.2857 252.843 -0.1886 0.00086329 0 
3-ethyl-4-methylheptane 0.2268 0.237 0.2857 309.662 -0.3652 0.0011374 0 
4-ethyl-4-methylheptane 0.2269 0.237 0.2857 306.529 -0.3604 0.0011244 0 
3-ethyl-5-methylheptane 0.2264 0.239 0.2857 303.594 -0.3679 0.001145 0 
4-ethyloctane 0.2237 0.237 0.2857 298.363 -0.2531 0.001027 0 
3-ethyloctane 0.2269 0.241 0.2857 297.286 -0.2757 0.0010262 0 
3-isopropyl-2-methylhexane 0.2226 0.234 0.2857 314.525 -0.3644 0.0011342 0 
4-isopropylheptane 0.2243 0.237 0.2857 304.709 -0.3712 0.0011532 0 
3-methylnonane 0.2737 0.2943 0.3331 163.728 1.0268 -0.0028681 3.6165e-06 
2-methylnonane 0.323 0.3466 0.4072 148.342 1.1724 -0.0032619 4.0293e-06 
4-methylnonane 0.3299 0.3522 0.4125 170.158 0.9801 -0.0027635 3.6333e-06 
5-methylnonane 0.2335 0.2522 0.282 163.221 1.042 -0.002926 3.7311e-06 
2,2,3,4,4-pentamethylpentane 0.233 0.24 0.2857 311.551 -0.3751 0.0011011 0 
2,2,3,3,4-pentamethylpentane 0.2392 0.245 0.2857 319.598 -0.3553 0.0010459 0 
4-propylheptane 0.2335 0.2457 0.2934 303.307 -0.3786 0.0011735 0 
2,2,4,5-tetramethylhexane 0.2289 0.243 0.2857 289.594 -0.354 0.0011087 0 
2,2,4,4-tetramethylhexane 0.2261 0.237 0.2857 297.284 -0.3559 0.0011122 0 
2,2,3,3-tetramethylhexane 0.2342 0.242 0.2857 304.361 -0.3371 0.0010648 0 
2,2,3,4-tetramethylhexane 0.2308 0.241 0.2857 302.661 -0.3406 0.0010733 0 
3,3,4,4-tetramethylhexane 0.2371 0.242 0.2857 341.01 -0.4371 0.0011503 0 
2,3,4,4-tetramethylhexane 0.2385 0.241 0.2857 332.559 -0.4651 0.0012129 0 
2,3,3,5-tetramethylhexane 0.2316 0.243 0.2857 322.824 -0.4792 0.0012448 0 
2,3,3,4-tetramethylhexane 0.2345 0.242 0.2857 335.56 -0.4552 0.0011905 0 
2,3,4,5-tetramethylhexane 0.2315 0.243 0.2857 326.901 -0.4799 0.0012463 0 
2,2,5,5-tetramethylhexane 0.2356 0.256 0.2857 303.057 -0.4815 0.0012529 0 
2,2,3,5-tetramethylhexane 0.2307 0.245 0.2857 289.718 -0.3462 0.0010888 0 
2,3,5-trimethylheptane 0.2278 0.24 0.2857 306.245 -0.3595 0.0011234 0 
2,4,5-trimethylheptane 0.2281 0.241 0.2857 300.845 -0.3598 0.0011243 0 
3,4,5-trimethylheptane 0.2311 0.24 0.2857 308.822 -0.3633 0.0011335 0 
3,4,4-trimethylheptane 0.2314 0.241 0.2857 305.85 -0.3443 0.0010832 0 
3,3,5-trimethylheptane 0.2338 0.248 0.2857 298.523 -0.3407 0.0010758 0 
3,3,4-trimethylheptane 0.231 0.241 0.2857 306.866 -0.3439 0.0010821 0 
2,3,3-trimethylheptane 0.2308 0.243 0.2857 304.682 -0.3449 0.0010852 0 
2,4,6-trimethylheptane 0.2275 0.245 0.2857 289.813 -0.3648 0.0011385 0 
2,4,4-trimethylheptane 0.2269 0.241 0.2857 293.936 -0.3607 0.0011262 0 
2,3,6-trimethylheptane 0.2288 0.244 0.2857 300.038 -0.3582 0.0011212 0 
2,3,4-trimethylheptane 0.2296 0.241 0.2857 304.922 -0.3546 0.0011104 0 
2,2,6-trimethylheptane 0.229 0.247 0.2857 291.021 -0.358 0.0011211 0 
2,2,5-trimethylheptane 0.2275 0.244 0.2857 293.497 -0.3589 0.0011225 0 
