ch_Species Arho Brho n Acp Bcp Ccp Dcp
2,2,3,4-tetramethyl-3-ethylhexane 0.2507 0.2513 0.2857 218.999 0.837 -0.0021233 2.7252e-06 
2,2,4,5-tetramethyl-3-ethylhexane 0.2511 0.2599 0.2857 226.993 0.8122 -0.0021564 2.9088e-06 
2,2,4,4-tetramethyl-3-isopropylpentane 0.2529 0.2597 0.2857 224.047 0.7682 -0.0019661 2.6096e-06 
2,2,3,4-tetramethyl-3-isopropylpentane 0.2529 0.2527 0.2857 226.405 0.7508 -0.0018909 2.4917e-06 
2,3,3,4-tetramethyl-4-ethylhexane 0.2507 0.2491 0.2857 220.274 0.8276 -0.0020861 2.67e-06 
2,2,3,5-tetramethyl-4-ethylhexane 0.2511 0.2601 0.2857 227.644 0.8074 -0.002139 2.8836e-06 
2,2,3,3-tetramethyl-4-ethylhexane 0.2507 0.2534 0.2857 218.209 0.8429 -0.0021483 2.7631e-06 
2,2,4,5-tetramethyl-4-ethylhexane 0.2507 0.2585 0.2857 218.195 0.8433 -0.0021602 2.7874e-06 
2,2,3,4-tetramethyl-4-ethylhexane 0.2507 0.252 0.2857 221.652 0.8176 -0.0020576 2.6348e-06 
2,3,3,5-tetramethyl-4-ethylhexane 0.2511 0.2557 0.2857 229.085 0.7968 -0.0020911 2.8063e-06 
2,2,4,6-tetramethyloctane 0.2489 0.2676 0.2857 219.84 0.8985 -0.0024089 3.1791e-06 
2,3,5,7-tetramethyloctane 0.2492 0.266 0.2857 235.371 0.817 -0.0022262 3.05e-06 
2,2,3,6-tetramethyloctane 0.2489 0.2637 0.2857 223.691 0.8693 -0.0022948 3.0096e-06 
2,2,3,5-tetramethyloctane 0.2489 0.2636 0.2857 222.383 0.8791 -0.0023298 3.0593e-06 
2,2,3,4-tetramethyloctane 0.2489 0.2614 0.2857 223.254 0.8726 -0.0023016 3.0156e-06 
2,2,3,3-tetramethyloctane 0.2485 0.2593 0.2857 212.296 0.9188 -0.0023511 2.9526e-06 
2,2,3,7-tetramethyloctane 0.2489 0.2661 0.2857 224.843 0.8607 -0.0022693 2.9772e-06 
2,2,4,4-tetramethyloctane 0.2485 0.2638 0.2857 209.162 0.9429 -0.0024441 3.0861e-06 
2,2,4,5-tetramethyloctane 0.2489 0.2655 0.2857 220.099 0.8964 -0.0023966 3.1578e-06 
2,3,4,5-tetramethyloctane 0.2492 0.2595 0.2857 236.519 0.8092 -0.0021824 2.9729e-06 
2,2,6,7-tetramethyloctane 0.2489 0.2683 0.2857 223.968 0.8673 -0.0022975 3.0209e-06 
2,4,4,5-tetramethyloctane 0.2489 0.261 0.2857 220.518 0.8931 -0.0023746 3.1188e-06 
2,3,6,7-tetramethyloctane 0.2492 0.2642 0.2857 237.94 0.7983 -0.0021517 2.9352e-06 
2,3,6,6-tetramethyloctane 0.2489 0.2636 0.2857 223.02 0.8743 -0.0023127 3.0348e-06 
2,3,5,6-tetramethyloctane 0.2492 0.2617 0.2857 236.327 0.8104 -0.0021915 2.9904e-06 
2,3,5,5-tetramethyloctane 0.2489 0.2643 0.2857 224.609 0.8625 -0.0022716 2.9776e-06 
2,4,4,7-tetramethyloctane 0.2489 0.2673 0.2857 219.009 0.9048 -0.0024311 3.2101e-06 
2,3,4,6-tetramethyloctane 0.2492 0.2617 0.2857 236.344 0.8103 -0.0021911 2.9899e-06 
2,4,5,5-tetramethyloctane 0.2489 0.2611 0.2857 221.225 0.8878 -0.0023557 3.0921e-06 
2,3,4,4-tetramethyloctane 0.2489 0.2591 0.2857 222.771 0.8762 -0.0023095 3.0229e-06 
2,3,3,7-tetramethyloctane 0.2489 0.264 0.2857 225.056 0.8591 -0.0022589 2.9589e-06 
2,3,3,6-tetramethyloctane 0.2489 0.2615 0.2857 223.901 0.8678 -0.0022844 2.9912e-06 
2,3,3,5-tetramethyloctane 0.2489 0.2614 0.2857 222.602 0.8775 -0.002319 3.0402e-06 
2,3,3,4-tetramethyloctane 0.2489 0.2572 0.2857 224.903 0.8604 -0.0022486 2.933e-06 
2,2,7,7-tetramethyloctane 0.2485 0.2722 0.2857 208.528 0.9489 -0.0024832 3.1522e-06 
2,3,4,7-tetramethyloctane 0.2492 0.264 0.2857 236.763 0.807 -0.0021837 2.9829e-06 
3,3,4,6-tetramethyloctane 0.2489 0.2591 0.2857 222.752 0.8763 -0.0023099 3.0234e-06 
4,4,5,5-tetramethyloctane 0.2485 0.2544 0.2857 209.784 0.9373 -0.0024039 3.0168e-06 
3,4,5,6-tetramethyloctane 0.2492 0.2573 0.2857 236.666 0.8084 -0.0021744 2.957e-06 
3,4,5,5-tetramethyloctane 0.2489 0.2568 0.2857 222.28 0.8799 -0.0023175 3.0304e-06 
3,4,4,6-tetramethyloctane 0.2489 0.259 0.2857 222.098 0.8812 -0.0023273 3.0481e-06 
3,4,4,5-tetramethyloctane 0.2489 0.2548 0.2857 223.773 0.8688 -0.0022734 2.9643e-06 
3,3,6,6-tetramethyloctane 0.2485 0.2636 0.2857 220.952 0.8571 -0.0022563 2.9699e-06 
2,4,4,6-tetramethyloctane 0.2489 0.2652 0.2857 218.669 0.9073 -0.0024355 3.2129e-06 
3,3,5,5-tetramethyloctane 0.2485 0.2595 0.2857 210.401 0.9331 -0.0024007 3.0205e-06 
2,4,5,7-tetramethyloctane 0.2492 0.2654 0.2857 232.988 0.8348 -0.0022923 3.148e-06 
3,3,4,5-tetramethyloctane 0.2489 0.2569 0.2857 222.929 0.875 -0.0023003 3.006e-06 
3,3,4,4-tetramethyloctane 0.2485 0.2546 0.2857 211.219 0.9265 -0.0023673 2.9674e-06 
2,5,6,6-tetramethyloctane 0.2489 0.2615 0.2857 223.92 0.8676 -0.002284 2.9906e-06 
2,5,5,6-tetramethyloctane 0.2489 0.2613 0.2857 222.563 0.8777 -0.0023199 3.0413e-06 
2,4,6,6-tetramethyloctane 0.2489 0.2654 0.2857 220.079 0.8966 -0.002397 3.1583e-06 
2,4,5,6-tetramethyloctane 0.2492 0.2616 0.2857 235.74 0.8147 -0.0022077 3.0144e-06 
3,3,5,6-tetramethyloctane 0.2489 0.2613 0.2857 221.926 0.8825 -0.002337 3.0657e-06 
2,2,6,6-tetramethyloctane 0.2485 0.2671 0.2857 205.898 0.9684 -0.00254 3.2221e-06 
2,2,5,7-tetramethyloctane 0.2489 0.2701 0.2857 220.996 0.8898 -0.0023828 3.1457e-06 
2,2,5,6-tetramethyloctane 0.2489 0.2657 0.2857 222.152 0.8809 -0.002341 3.0789e-06 
2,2,4,7-tetramethyloctane 0.2489 0.2701 0.2857 220.868 0.8908 -0.0023864 3.1508e-06 
2,2,5,5-tetramethyloctane 0.2485 0.2672 0.2857 205.245 0.9735 -0.002558 3.2469e-06 
3,3,4-triethylhexane 0.2467 0.2469 0.2857 214.536 0.97 -0.0025331 3.2064e-06 
2,2,4-trimethyl-3,3-diethylpentane 0.2507 0.2491 0.2857 219.118 0.836 -0.0021154 2.7108e-06 
3,4,5-trimethyl-3-ethylheptane 0.2489 0.2523 0.2857 223.179 0.8733 -0.0022838 2.9747e-06 
2,2,5-trimethyl-3-ethylheptane 0.2489 0.2607 0.2857 219.746 0.899 -0.002395 3.1475e-06 
2,2,6-trimethyl-3-ethylheptane 0.2489 0.2632 0.2857 220.937 0.89 -0.0023683 3.1135e-06 
2,3,6-trimethyl-3-ethylheptane 0.2489 0.259 0.2857 222.713 0.8766 -0.0023108 3.0245e-06 
2,4,4-trimethyl-3-ethylheptane 0.2489 0.259 0.2857 221.479 0.8859 -0.002344 3.0719e-06 
2,5,5-trimethyl-3-ethylheptane 0.2489 0.2611 0.2857 219.944 0.8975 -0.0023906 3.1418e-06 
2,2,4-trimethyl-3-ethylheptane 0.2489 0.2587 0.2857 220.032 0.8968 -0.0023824 3.126e-06 
2,2,3-trimethyl-3-ethylheptane 0.2485 0.2543 0.2857 209.703 0.9379 -0.0024056 3.0189e-06 
2,4,5-trimethyl-3-ethylheptane 0.2492 0.257 0.2857 234.845 0.8218 -0.0022238 3.0301e-06 
2,3,4-trimethyl-3-ethylheptane 0.2489 0.2525 0.2857 223.871 0.8682 -0.0022659 2.9497e-06 
3,4,4-trimethyl-3-ethylheptane 0.2485 0.2499 0.2857 210.736 0.9298 -0.0023681 2.9609e-06 
2,3,5-trimethyl-3-ethylheptane 0.2489 0.2567 0.2857 222.558 0.8778 -0.0023099 3.0195e-06 
2,4,6-trimethyl-3-ethylheptane 0.2492 0.2612 0.2857 233.884 0.8285 -0.0022587 3.0901e-06 
2,3,5-trimethyl-3-isopropylhexane 0.2511 0.2579 0.2857 228.366 0.8021 -0.0021148 2.8446e-06 
2,3,4-trimethyl-3-isopropylhexane 0.2511 0.2513 0.2857 230.967 0.7833 -0.0020328 2.7138e-06 
2,2,5-trimethyl-3-isopropylhexane 0.2511 0.2633 0.2857 222.606 0.8454 -0.0022861 3.1051e-06 
2,2,4-trimethyl-3-isopropylhexane 0.2511 0.2598 0.2857 226.337 0.8171 -0.002174 2.9343e-06 
2,2,3-trimethyl-3-isopropylhexane 0.2507 0.2534 0.2857 218.209 0.8429 -0.0021483 2.7631e-06 
2,4,4-trimethyl-3-isopropylhexane 0.2511 0.2575 0.2857 228.366 0.8021 -0.0021148 2.8446e-06 
2,3,4-trimethyl-4-ethylheptane 0.2489 0.2546 0.2857 221.857 0.8831 -0.0023241 3.036e-06 
2,3,6-trimethyl-4-ethylheptane 0.2492 0.2611 0.2857 233.226 0.8334 -0.0022769 3.1169e-06 
2,3,5-trimethyl-4-ethylheptane 0.2492 0.257 0.2857 234.845 0.8218 -0.0022238 3.0301e-06 
2,2,3-trimethyl-4-ethylheptane 0.2489 0.2588 0.2857 220.758 0.8913 -0.0023631 3.0988e-06 
2,3,3-trimethyl-4-ethylheptane 0.2489 0.2544 0.2857 222.376 0.8792 -0.0023097 3.0153e-06 
2,5,5-trimethyl-4-ethylheptane 0.2489 0.2587 0.2857 220.032 0.8968 -0.0023824 3.126e-06 
2,4,5-trimethyl-4-ethylheptane 0.2489 0.2564 0.2857 220.852 0.8906 -0.0023551 3.0832e-06 
3,4,5-trimethyl-4-ethylheptane 0.2489 0.2505 0.2857 224.159 0.8661 -0.0022544 2.9301e-06 
2,2,5-trimethyl-4-ethylheptane 0.2489 0.2628 0.2857 218.176 0.911 -0.0024434 3.2201e-06 
2,2,6-trimethyl-4-ethylheptane 0.2489 0.2671 0.2857 216.29 0.9257 -0.002507 3.3187e-06 
2,4,6-trimethyl-4-ethylheptane 0.2489 0.2626 0.2857 217.422 0.9167 -0.0024639 3.2491e-06 
3,3,4-trimethyl-4-ethylheptane 0.2485 0.2502 0.2857 210.933 0.9284 -0.002364 2.956e-06 
3,3,5-trimethyl-4-ethylheptane 0.2489 0.2545 0.2857 221.146 0.8884 -0.0023427 3.0622e-06 
2,2,4-trimethyl-4-ethylheptane 0.2485 0.2591 0.2857 208.103 0.9505 -0.0024597 3.1e-06 
2,2,5-trimethyl-4-isopropylhexane 0.2511 0.2658 0.2857 223.728 0.8369 -0.0022603 3.0713e-06 
2,3,5-trimethyl-4-isopropylhexane 0.2514 0.2603 0.2857 239.409 0.7541 -0.0020545 2.8893e-06 
2,2,3-trimethyl-5-ethylheptane 0.2489 0.2611 0.2857 221.205 0.8879 -0.0023561 3.0927e-06 
2,2,6-trimethyl-5-ethylheptane 0.2489 0.2655 0.2857 220.14 0.8961 -0.0023957 3.1566e-06 
2,3,3-trimethyl-5-ethylheptane 0.2489 0.259 0.2857 221.479 0.8859 -0.002344 3.0719e-06 
2,2,4-trimethyl-5-ethylheptane 0.2489 0.263 0.2857 218.925 0.9053 -0.0024231 3.1916e-06 
2,2,5-trimethyl-5-ethylheptane 0.2485 0.2631 0.2857 206.656 0.962 -0.0025086 3.1728e-06 
3,4,4-trimethyl-5-ethylheptane 0.2489 0.2523 0.2857 223.179 0.8733 -0.0022838 2.9747e-06 
2,3,4-trimethyl-5-ethylheptane 0.2492 0.2571 0.2857 235.485 0.8171 -0.0022065 3.0046e-06 
2,3,6-trimethyl-5-ethylheptane 0.2492 0.2616 0.2857 235.185 0.8188 -0.0022231 3.0375e-06 
2,4,4-trimethyl-5-ethylheptane 0.2489 0.2587 0.2857 220.032 0.8968 -0.0023824 3.126e-06 
3,3,5-trimethyl-5-ethylheptane 0.2485 0.255 0.2857 211.44 0.9249 -0.0023627 2.9618e-06 
2,4,5-trimethyl-5-ethylheptane 0.2489 0.2568 0.2857 222.28 0.8799 -0.0023175 3.0304e-06 
2,3,5-trimethyl-5-ethylheptane 0.2489 0.259 0.2857 221.479 0.8859 -0.002344 3.0719e-06 
3,3,4-trimethyl-5-ethylheptane 0.2489 0.2544 0.2857 222.376 0.8792 -0.0023097 3.0153e-06 
2,7,7-trimethylnonane 0.2467 0.2651 0.2857 217.985 0.9442 -0.0024846 3.1714e-06 
3,4,6-trimethylnonane 0.2471 0.2606 0.2857 229.708 0.8929 -0.0024127 3.2024e-06 
2,4,6-trimethylnonane 0.2471 0.2648 0.2857 228.601 0.9009 -0.0024522 3.2676e-06 
3,5,7-trimethylnonane 0.2471 0.2628 0.2857 229.501 0.8943 -0.0024229 3.2212e-06 
2,4,7-trimethylnonane 0.2471 0.265 0.2857 229.937 0.8908 -0.0024154 3.2145e-06 
2,4,8-trimethylnonane 0.2471 0.268 0.2857 229.436 0.8944 -0.0024354 3.2489e-06 
3,5,6-trimethylnonane 0.2471 0.2606 0.2857 229.727 0.8928 -0.0024123 3.2018e-06 
2,5,5-trimethylnonane 0.2467 0.2643 0.2857 212.685 0.9844 -0.0026254 3.3654e-06 
3,5,5-trimethylnonane 0.2467 0.262 0.2857 212.188 0.9881 -0.0026331 3.372e-06 
2,4,5-trimethylnonane 0.2471 0.2628 0.2857 229.501 0.8943 -0.0024229 3.2212e-06 
3,4,7-trimethylnonane 0.2471 0.2609 0.2857 231.694 0.8782 -0.0023591 3.1251e-06 
3,3,6-trimethylnonane 0.2467 0.2628 0.2857 217.492 0.9478 -0.0024923 3.1783e-06 
3,4,5-trimethylnonane 0.2471 0.2585 0.2857 230.566 0.8867 -0.0023851 3.1584e-06 
3,4,4-trimethylnonane 0.2467 0.2582 0.2857 216.457 0.9556 -0.0025089 3.1932e-06 
3,3,7-trimethylnonane 0.2467 0.2625 0.2857 215.264 0.9647 -0.0025511 3.2591e-06 
3,3,4-trimethylnonane 0.2467 0.2584 0.2857 217.917 0.9446 -0.0024709 3.141e-06 
2,6,7-trimethylnonane 0.2471 0.2631 0.2857 232.137 0.8747 -0.0023514 3.118e-06 
2,6,6-trimethylnonane 0.2467 0.2641 0.2857 212.573 0.9853 -0.0026279 3.3685e-06 
2,5,8-trimethylnonane 0.2471 0.2671 0.2857 229.669 0.8927 -0.0024272 3.2354e-06 
2,5,7-trimethylnonane 0.2471 0.2651 0.2857 229.957 0.8907 -0.002415 3.2139e-06 
2,5,6-trimethylnonane 0.2471 0.2629 0.2857 230.172 0.8893 -0.0024046 3.1948e-06 
2,3,4-trimethylnonane 0.2471 0.2608 0.2857 231.675 0.8783 -0.0023595 3.1257e-06 
3,3,5-trimethylnonane 0.2467 0.2617 0.2857 211.275 0.9951 -0.0026571 3.4047e-06 
2,2,5-trimethylnonane 0.2467 0.2668 0.2857 214.731 0.9689 -0.0025762 3.3015e-06 
2,2,6-trimethylnonane 0.2467 0.2665 0.2857 213.854 0.9756 -0.0025992 3.3329e-06 
2,2,7-trimethylnonane 0.2467 0.2672 0.2857 217.711 0.9463 -0.002497 3.1921e-06 
2,2,4-trimethylnonane 0.2467 0.2668 0.2857 214.731 0.9689 -0.0025762 3.3015e-06 
2,2,8-trimethylnonane 0.2467 0.2703 0.2857 219.294 0.9344 -0.0024621 3.149e-06 
3,6,6-trimethylnonane 0.2467 0.2617 0.2857 211.275 0.9951 -0.0026571 3.4047e-06 
2,3,3-trimethylnonane 0.2467 0.2608 0.2857 219.168 0.9353 -0.0024435 3.1074e-06 
2,2,3-trimethylnonane 0.2467 0.2633 0.2857 219.139 0.9355 -0.0024501 3.1208e-06 
2,3,5-trimethylnonane 0.2471 0.2628 0.2857 230.152 0.8894 -0.002405 3.1954e-06 
4,5,6-trimethylnonane 0.2471 0.2582 0.2857 229.216 0.8968 -0.0024215 3.2108e-06 
4,5,5-trimethylnonane 0.2467 0.258 0.2857 215.017 0.9664 -0.0025469 3.2456e-06 
2,3,6-trimethylnonane 0.2471 0.2631 0.2857 231.5 0.8794 -0.0023686 3.1429e-06 
2,3,7-trimethylnonane 0.2471 0.2634 0.2857 233.456 0.8649 -0.0023161 3.0674e-06 
4,4,6-trimethylnonane 0.2467 0.2621 0.2857 212.21 0.9879 -0.0026326 3.3714e-06 
2,3,8-trimethylnonane 0.2471 0.2656 0.2857 233.889 0.8615 -0.0023087 3.0606e-06 
4,4,5-trimethylnonane 0.2467 0.258 0.2857 214.974 0.9667 -0.0025478 3.2467e-06 
2,4,4-trimethylnonane 0.2467 0.2643 0.2857 212.685 0.9844 -0.0026254 3.3654e-06 
2,4-dimethylundecane 0.2453 0.2628 0.2857 236.183 1.0909 -0.0028958 3.6062e-06 
2,2-dimethylundecane 0.245 0.266 0.2857 225.393 1.1316 -0.0029071 3.477e-06 
2,3-dimethylundecane 0.2453 0.2603 0.2857 243.44 1.0375 -0.0027022 3.3378e-06 
2-methyldodecane 0.2434 0.2639 0.2857 220.382 1.2333 -0.0031591 3.6864e-06 
3-methyldodecane 0.2434 0.2613 0.2857 235.952 1.1241 -0.0029166 3.5175e-06 
2,6,8-trimethyldecane 0.1843 0.1946 0.2364 281.449 0.6784 -0.0018426 2.7821e-06 
2,2,8-trimethyldecane 0.1823 0.1942 0.2352 187.276 1.3927 -0.0036961 4.3339e-06 
2,6,7-trimethyldecane 0.1988 0.2094 0.2462 309.604 0.4698 -0.0012722 2.2302e-06 
2,2,9-trimethyldecane 0.1745 0.1875 0.2268 100.866 2.087 -0.0054969 5.8706e-06 
2,3,4-trimethyldecane 0.241 0.2491 0.2934 332.501 0.285 -0.00079646 1.8183e-06 
2,2,4-trimethyldecane 0.1945 0.2056 0.2483 227.047 1.0899 -0.0029614 3.7601e-06 
3,3,4-trimethyldecane 0.2382 0.2416 0.3005 240.284 0.973 -0.0026233 3.3993e-06 
3,5,7-trimethyldecane 0.1632 0.1716 0.2154 303.006 0.5018 -0.0013776 2.3772e-06 
2,4,6-trimethyldecane 0.0832 0.0883 0.1501 245.105 0.9699 -0.0026866 3.5921e-06 
2,5,9-trimethyldecane 0.1778 0.1908 0.2248 224.332 1.1558 -0.0030343 3.7448e-06 
2,6,6-trimethyldecane 0.115 0.1198 0.1841 109.495 1.9984 -0.0053418 5.8449e-06 
2,3,7-trimethyldecane 0.1877 0.1976 0.2377 292.625 0.5883 -0.0015709 2.4908e-06 
2,2,6-trimethyldecane 0.2071 0.219 0.2619 195.798 1.339 -0.0035892 4.282e-06 
2,3,5-trimethyldecane 0.098 0.1026 0.1658 217.455 1.1717 -0.0031742 3.9841e-06 
2,2,3-trimethyldecane 0.1918 0.2003 0.2454 159.225 1.6008 -0.0041871 4.6726e-06 
2,5,6-trimethyldecane 0.0816 0.0861 0.1492 235.622 1.0449 -0.0028424 3.6835e-06 
2,2,5-trimethyldecane 0.1922 0.2035 0.2466 157.58 1.6382 -0.0043986 5.0153e-06 
3,3,8-trimethyldecane 0.2213 0.2297 0.2775 285.702 0.629 -0.0017402 2.6723e-06 
2,2,7-trimethyldecane 0.2123 0.2253 0.2638 170.701 1.5185 -0.0039957 4.5702e-06 
2,3,8-trimethyldecane 0.1873 0.1978 0.2338 328.077 0.3201 -0.0008043 1.7315e-06 
2,3,6-trimethyldecane 0.1827 0.1927 0.2323 298.365 0.5609 -0.0015389 2.5015e-06 
3,3,5-trimethyldecane 0.2061 0.208 0.2787 139.207 1.7681 -0.0047992 5.4279e-06 
2,7,7-trimethyldecane 0.2156 0.2259 0.27 204.043 1.2462 -0.0033034 4.0025e-06 
2,5,8-trimethyldecane 0.1697 0.1811 0.217 271.613 0.7859 -0.0020898 2.9298e-06 
3,3,6-trimethyldecane 0.1863 0.1934 0.2438 220.8 1.1514 -0.003169 3.9865e-06 
2,8,8-trimethyldecane 0.213 0.2227 0.2679 199.943 1.2854 -0.0034173 4.0969e-06 
2,3,9-trimethyldecane 0.1864 0.1982 0.233 296.969 0.5646 -0.00147 2.349e-06 
2,4,8-trimethyldecane 0.189 0.1998 0.2397 272.847 0.7377 -0.0019728 2.871e-06 
4,5,6-trimethyldecane 0.232 0.2351 0.2918 304.103 0.506 -0.0014809 2.5384e-06 
5,5,6-trimethyldecane 0.1495 0.151 0.2179 141.086 1.7477 -0.004732 5.3611e-06 
3,3,7-trimethyldecane 0.1837 0.1915 0.2404 229.062 1.0685 -0.0028936 3.6836e-06 
3,6,7-trimethyldecane 0.144 0.1514 0.1971 312.313 0.4397 -0.0012146 2.2198e-06 
3,7,7-trimethyldecane 0.1995 0.2077 0.255 236.438 1.0071 -0.0027299 3.5486e-06 
4,4,6-trimethyldecane 0.2235 0.2248 0.2975 125.75 1.8593 -0.005016 5.612e-06 
2,7,8-trimethyldecane 0.1744 0.1846 0.2211 268.476 0.7952 -0.0020543 2.8154e-06 
2,4,4-trimethyldecane 0.1892 0.1948 0.2537 188.973 1.3979 -0.0038357 4.5792e-06 
2,4,9-trimethyldecane 0.1814 0.1948 0.2266 267.716 0.8045 -0.0021126 2.9244e-06 
2,5,7-trimethyldecane 0.1757 0.1861 0.2264 299.155 0.5427 -0.0014929 2.4796e-06 
3,4,6-trimethyldecane 0.1719 0.1788 0.2249 312.216 0.4356 -0.0012234 2.2576e-06 
4,5,5-trimethyldecane 0.1578 0.1593 0.2257 150.024 1.6678 -0.0044983 5.1142e-06 
4,6,6-trimethyldecane 0.145 0.1479 0.2151 124.758 1.8575 -0.0050159 5.6299e-06 
2,4,7-trimethyldecane 0.1804 0.1914 0.2298 305.025 0.4994 -0.0013741 2.3546e-06 
2,3,3-trimethyldecane 0.2068 0.2135 0.2616 187.438 1.3765 -0.0036044 4.1656e-06 
4,4,7-trimethyldecane 0.2264 0.2325 0.2905 178.023 1.4734 -0.004013 4.7207e-06 
2,5,5-trimethyldecane 0.2276 0.2369 0.2854 235.609 1.0384 -0.0028688 3.7253e-06 
3,4,4-trimethyldecane 0.1677 0.1705 0.2316 186.958 1.3906 -0.0037297 4.3742e-06 
3,4,8-trimethyldecane 0.2253 0.2349 0.2725 328.252 0.3106 -0.00083228 1.8401e-06 
3,5,5-trimethyldecane 0.2266 0.2287 0.2989 162.372 1.5911 -0.004336 5.0334e-06 
3,5,6-trimethyldecane 0.1803 0.1872 0.2336 287.478 0.6274 -0.001725 2.6908e-06 
3,5,8-trimethyldecane 0.1605 0.1701 0.2081 285.193 0.6633 -0.0017614 2.6438e-06 
3,6,6-trimethyldecane 0.1789 0.183 0.2452 138.549 1.7827 -0.0048619 5.523e-06 
3,4,5-trimethyldecane 0.2328 0.2387 0.2857 326.03 0.3279 -0.00094473 1.9972e-06 
3,4,7-trimethyldecane 0.17 0.1784 0.2203 344.325 0.1901 -0.00057628 1.6789e-06 
4,5,7-trimethyldecane 0.2187 0.2261 0.2708 289.543 0.5992 -0.0016117 2.5485e-06 
4,4,6,6-tetramethylnonane 0.2278 0.231 0.2956 203.649 1.2394 -0.0034088 4.1556e-06 
2,2,6,8-tetramethylnonane 0.1484 0.1573 0.2079 255.318 0.8855 -0.0026115 3.6354e-06 
2,4,6,8-tetramethylnonane 0.1569 0.1687 0.2045 312.829 0.3944 -0.00094386 1.8622e-06 
2,2,8,8-tetramethylnonane 0.1082 0.1156 0.1772 -1.096 2.903 -0.0078992 8.2069e-06 
3,3,7,7-tetramethylnonane 0.1435 0.1479 0.2119 261.288 0.8005 -0.0022762 3.2689e-06 
3,3,6,6-tetramethylnonane 0.2161 0.2208 0.2818 180.202 1.4159 -0.0038668 4.6054e-06 
2,3,6,7-tetramethylnonane 0.2341 0.2442 0.2808 329.447 0.2447 -0.00052609 1.4467e-06 
3,4,5,5-tetramethylnonane 0.2374 0.2323 0.3132 154.415 1.631 -0.0044678 5.1764e-06 
2,3,3,4-tetramethylnonane 0.233 0.2327 0.2936 243.751 0.9128 -0.0025022 3.3404e-06 
2,2,4,7-tetramethylnonane 0.1959 0.2055 0.2499 272.946 0.7094 -0.0020152 2.977e-06 
2,2,4,5-tetramethylnonane 0.2215 0.2243 0.2934 192.951 1.3377 -0.0037341 4.5554e-06 
2,2,6,7-tetramethylnonane 0.1963 0.2058 0.2487 282.302 0.6298 -0.0017589 2.7101e-06 
2,5,5,6-tetramethylnonane 0.2386 0.2416 0.299 247.936 0.9068 -0.0025421 3.4511e-06 
3,5,5,7-tetramethylnonane 0.2203 0.2261 0.2769 257.178 0.8262 -0.0023508 3.3322e-06 
2,2,7,8-tetramethylnonane 0.1814 0.1907 0.2376 200.172 1.2692 -0.0034455 4.1868e-06 
2,4,4,5-tetramethylnonane 0.2179 0.2169 0.2904 151.51 1.6402 -0.004476 5.1397e-06 
2,6,7,7-tetramethylnonane 0.2343 0.2393 0.2897 262.331 0.775 -0.0021187 2.996e-06 
3,3,4,6-tetramethylnonane 0.2145 0.2169 0.2741 288.744 0.576 -0.0016663 2.6835e-06 
4,4,5,5-tetramethylnonane 0.2336 0.227 0.3118 17.25 2.5882 -0.0067251 6.8694e-06 
2,2,7,7-tetramethylnonane 0.1098 0.1156 0.1777 205.11 1.2533 -0.0035136 4.3414e-06 
2,3,4,5-tetramethylnonane 0.2267 0.234 0.2694 337.319 0.1846 -0.0003995 1.3579e-06 
2,3,7,8-tetramethylnonane 0.1924 0.2027 0.2387 327.466 0.2895 -0.00065677 1.567e-06 
2,4,4,7-tetramethylnonane 0.2024 0.2103 0.256 269.637 0.719 -0.002017 2.9625e-06 
2,4,7,7-tetramethylnonane 0.2115 0.2194 0.2672 276.583 0.6758 -0.0019366 2.9448e-06 
2,6,6,7-tetramethylnonane 0.2326 0.239 0.2854 282.224 0.6101 -0.0016613 2.5637e-06 
3,3,5,6-tetramethylnonane 0.2383 0.2419 0.3004 283.316 0.6142 -0.0017481 2.7454e-06 
3,5,6,6-tetramethylnonane 0.2311 0.2338 0.2901 305.06 0.432 -0.0012501 2.2952e-06 
2,2,6,6-tetramethylnonane 0.124 0.131 0.1881 200.678 1.2885 -0.0035969 4.3855e-06 
3,4,5,6-tetramethylnonane 0.2397 0.2459 0.2805 311.419 0.3986 -0.00096502 1.8352e-06 
2,2,5,8-tetramethylnonane 0.1655 0.1757 0.2195 164.789 1.533 -0.0040849 4.6973e-06 
2,2,5,5-tetramethylnonane 0.0817 0.0849 0.157 112.532 1.9503 -0.0053363 5.9648e-06 
2,3,5,5-tetramethylnonane 0.2236 0.2249 0.2946 161.081 1.5733 -0.0043178 5.0374e-06 
2,4,4,6-tetramethylnonane 0.223 0.2299 0.2798 254.429 0.8605 -0.0024569 3.3982e-06 
2,5,5,8-tetramethylnonane 0.1657 0.1735 0.2232 287.957 0.6257 -0.0018675 2.991e-06 
3,3,4,4-tetramethylnonane 0.234 0.2305 0.3032 116.575 1.8591 -0.0048795 5.2861e-06 
4,4,5,6-tetramethylnonane 0.233 0.234 0.2912 296.179 0.4946 -0.0014069 2.4038e-06 
2,2,3,4-tetramethylnonane 0.2297 0.2341 0.2866 251.056 0.8784 -0.0024432 3.3062e-06 
2,2,4,4-tetramethylnonane 0.222 0.2245 0.2981 21.436 2.636 -0.0070265 7.284e-06 
2,3,4,8-tetramethylnonane 0.2046 0.2149 0.2504 322.228 0.3049 -0.00069242 1.5785e-06 
2,2,4,8-tetramethylnonane 0.1868 0.1972 0.2409 285.931 0.6313 -0.0018712 2.9027e-06 
2,2,3,7-tetramethylnonane 0.1923 0.1999 0.243 287.93 0.5892 -0.0016553 2.608e-06 
