ch_Species Ap Bp Cp Dp Ep Ah nh
3,7-dimethylnonane 24.824 -3419.3 -5.4375 0 0 65.611 0.38 
2,4-dimethylnonane 25.09 -3395.9 -5.5312 0 0 64.709 0.38 
2,3-dimethylnonane 24.738 -3427.2 -5.4069 0 0 65.911 0.38 
2,2-dimethylnonane 24.677 -3356.5 -5.417 0 0 63.977 0.38 
4,5-dimethylnonane 24.912 -3411.5 -5.4684 0 0 65.31 0.38 
4,6-dimethylnonane 25.045 -3399.8 -5.5154 0 0 64.859 0.38 
5,5-dimethylnonane 24.809 -3345 -5.4638 0 0 63.533 0.38 
2,7-dimethylnonane 25 -3403.7 -5.4996 0 0 65.009 0.38 
2,8-dimethylnonane 24.868 -3415.4 -5.4529 0 0 65.46 0.38 
5-ethylnonane 25.303 -3447.2 -5.5775 0 0 65.999 0.38 
4-ethylnonane 25.125 -3463.1 -5.5145 0 0 66.609 0.38 
3-ethylnonane 24.951 -3479 -5.4528 0 0 67.219 0.38 
2,2,3,3,4,4-hexamethylpentane 22.311 -3144.3 -4.7571 0 0 60.266 0.38 
4-isopropyloctane 25.09 -3395.9 -5.5312 0 0 64.709 0.38 
2-methyl-3,3-diethylhexane 24.12 -3336.2 -5.2494 0 0 63.894 0.38 
2-methyl-3,4-diethylhexane 24.742 -3356.5 -5.4374 0 0 63.886 0.38 
3-methyl-3,4-diethylhexane 24.12 -3336.2 -5.2494 0 0 63.894 0.38 
2-methyl-3-ethyloctane 24.912 -3411.5 -5.4684 0 0 65.31 0.38 
4-methyl-3-ethyloctane 24.868 -3415.4 -5.4529 0 0 65.46 0.38 
3-methyl-3-ethyloctane 24.431 -3378.4 -5.3301 0 0 64.821 0.38 
2-methyl-3-isopropylheptane 24.773 -3353.8 -5.4483 0 0 63.783 0.38 
3-methyl-4,4-diethylhexane 23.955 -3351.4 -5.191 0 0 64.478 0.38 
2-methyl-4,4-diethylhexane 24.419 -3309.6 -5.3548 0 0 62.873 0.38 
3-methyl-4-ethyloctane 24.912 -3411.5 -5.4684 0 0 65.31 0.38 
2-methyl-4-ethyloctane 25.18 -3388.1 -5.5632 0 0 64.408 0.38 
4-methyl-4-ethyloctane 24.677 -3356.5 -5.417 0 0 63.977 0.38 
4-methyl-4-isopropylheptane 24.376 -3313.4 -5.3395 0 0 63.019 0.38 
2-methyl-4-isopropylheptane 25.057 -3329.7 -5.5487 0 0 62.85 0.38 
3-methyl-4-isopropylheptane 24.831 -3348.8 -5.4687 0 0 63.59 0.38 
3-methyl-4-propylheptane 25.045 -3399.8 -5.5154 0 0 64.859 0.38 
2-methyl-4-propylheptane 25.271 -3380.4 -5.5955 0 0 64.108 0.38 
4-methyl-4-propylheptane 24.765 -3348.8 -5.4481 0 0 63.681 0.38 
2-methyl-5-ethyloctane 25.09 -3395.9 -5.5312 0 0 64.709 0.38 
4-methyl-5-ethyloctane 25 -3403.7 -5.4996 0 0 65.009 0.38 
3-methyl-5-ethyloctane 25.18 -3388.1 -5.5632 0 0 64.408 0.38 
4-methyl-6-ethyloctane 25 -3403.7 -5.4996 0 0 65.009 0.38 
3-methyl-6-ethyloctane 24.912 -3411.5 -5.4684 0 0 65.31 0.38 
2-methyl-6-ethyloctane 24.912 -3411.5 -5.4684 0 0 65.31 0.38 
4-methyldecane 24.955 -3478.6 -5.4544 0 0 67.204 0.38 
2-methyldecane 24.899 -3483.8 -5.4348 0 0 67.401 0.38 
3-methyldecane 24.865 -3487 -5.4226 0 0 67.525 0.38 
5-methyldecane 25.037 -3471 -5.4835 0 0 66.914 0.38 
2,3,3,4,5-pentamethylhexane 23.735 -3231.5 -5.1704 0 0 61.291 0.38 
2,2,3,4,5-pentamethylhexane 24.033 -3205.9 -5.2757 0 0 60.3 0.38 
2,2,3,3,5-pentamethylhexane 23.864 -3147.8 -5.2466 0 0 58.864 0.38 
2,2,3,3,4-pentamethylhexane 23.296 -3196.4 -5.0463 0 0 60.745 0.38 
2,2,3,5,5-pentamethylhexane 24.063 -3131.7 -5.3169 0 0 58.237 0.38 
2,2,4,4,5-pentamethylhexane 23.628 -3167.5 -5.1631 0 0 59.63 0.38 
2,2,3,4,4-pentamethylhexane 23.216 -3203.7 -5.0179 0 0 61.024 0.38 
2,3,3,4,4-pentamethylhexane 23.176 -3207.3 -5.0038 0 0 61.164 0.38 
4-propyloctane 25.303 -3447.2 -5.5775 0 0 65.999 0.38 
4-tert-butylheptane -36.8279 -47.3 15.4006 -2.3395e-09 -5.048e-06 62.144 0.38 
2,2,4,4-tetramethyl-3-ethylpentane 23.46 -3181.9 -5.104 0 0 60.187 0.38 
2,2,3,4-tetramethyl-3-ethylpentane 23.216 -3203.7 -5.0179 0 0 61.024 0.38 
2,2,6,6-tetramethylheptane 24.505 -3162.5 -5.4453 0 0 58.694 0.38 
2,3,3,5-tetramethylheptane 24.248 -3255.6 -5.3231 0 0 61.502 0.38 
2,3,3,4-tetramethylheptane 23.991 -3278 -5.2323 0 0 62.364 0.38 
2,2,3,4-tetramethylheptane 24.248 -3255.6 -5.3231 0 0 61.502 0.38 
